Device	Exposed parameters	Source defaults written	Wet controls forced max	No explicit initial	Preset 1 text
Rye	8	7	1	0	grain-xfade 101., fb-delay 1274., grain-duration 403., grain-pitch -0.95, wet/dry 100., stereo-factor -0.82, grain-period 329., fb-amount 0.
Simple Pitch Shifter	6	5	1	0	Quality 0., Latency 1, Glide 50, Gain 0., Transp 0., Dry/Wet 100.
Space Echo	13	11	1	1	WarbleSpeed 43., wet/dry 100., lowpass 3280., reverb_wetdry 27.200001, highpass 220., feedback 47., tempo 0., clipping 0.63, WarbleAmount 14., live.menu 13., inertia 2.687, revtime 2800.
Spectral Filter	3	1	1	1	wet/dry 100., spectral_filter 115
Speed Shifter	8	7	1	0	left_speed 100, left_length 1011., wet/dry 100., right_speed 100, left_feedback 50., feedback_clipping 50., right_length 1111., right_feedback 50.
SquirrelParade	36	18	1	17	dropout 0., fmd4 0.12, bs_4 1., freq 440, wet/dry 100., grain_size 3056, v2 0., spread 27., window 0.27, v3 0., repeat 0., v4 0.25, fmd3 0.05, bs_3 0.02, fmd2 0.03, bs_2 0.02, v1 0.25, fmd1 0.17, bs_1 1.
Stereo Adjuster	1	1	0	0	adjust 64.
Stutterer	16	8	1	7	Portamento 50, sync 1., wet_dry 100., note_length 3., ranger 64, auto_trig 0., density 50, stutters 8, lMulti 0
Swirl	10	9	1	0	left_modfreq 0.272, in_level 0.272, right_modfreq 0.16, wet_dry 100., left_feedback 0.3672, left_delay 70.559998, left_moddepth 0.576, right_delay 114.239998, right_feedback 0.6912, right_moddepth 0.928
Synced Player	30	19	0	11	Beats 0, Warp 1, EnableTransp 1, ZoomV 0, Quantize 7., Rev 0, StretchMode 0, Fade 5, Stretch 0, Thru 1, EnableFormant 1, Formant 0., Play 0, Gain 0., Transp 0., Bars 1, Grid 8., EnableStretch 1., ZoomH 0.
Tapped Delay	10	5	1	4	levels 0.71, wet/dry 100., feedback 18.4, positions 0., tempo 0., time 13.
Tremellow	13	3	1	9	sync 0., wet/dry 100., spread 62.991982, waveform 1.
Vibrato Cauldron	7	6	1	0	wet_dry 100., feedback 91.872002, moddepth 26.4, delay 86.400002, mod_cutoff 1024., mod_Q 92.335999, rate 0.96
Warpoon	15	14	1	0	T2_depth 25., wet_dry_level 100., T1_mod_freq 0.19, T3_mod_freq 0.24, T4_mod_freq 0.22, T1_delay 51., T3_delay 53., T4_delay 47., waveform 1., T2_mod_freq 0.28, level 0., T4_depth 29., T2_delay 42., T1_depth 30., T3_depth 31.
WasteBand	16	16	0	0	Hi_L -11.105239, Low-Mid_L 3606.08008, Mid_R -30.484369, Mid_L -22.65724, midOD_R 30.4, loOD_L 73.599998, Low_L -20.752001, hiOD_R -22.4, hiOD_L 28.799999, Mid-Hi_L 1504.64001, Low_R -14.867384, Low-Mid_R 1886.71997, Hi_R -15.095675, loOD_R 72., midOD_L -41.599998, Mid-Hi_R 5134.3999
Waveshaper	5	1	0	4	wave 0.043137
Wheat	17	16	1	0	pitch_rand 118, wet_dry 100., window 172, scan_rate 111., mod.speed 72., ranger 0, mode.offset 0., grain 176, mode.freeze 0., speed 447, pitch 512, xfade 185, mod.amount 42., live.button 0., variation 0.637097, mess 1, rnd_stereo 381
Xformer	8	8	0	0	decay 720., accent 66.400002, delay 0., sum_inputs 0., steps 16., attack 0., accenter 3, mute 3
